RacketId;Prezzo;Sesso;ImageLink;ColoreUno;ColoreDue;Profilo;Lunghezza;Peso;NumeroArticolo;PuntoDiEquilibrio;TipoDiGioco;TipoDiProdotto;Telaio;Nucleo;LivelloDiGioco;Forma;Eta;Bilanciamento;Anno;Url;Marca;Modello;VecchioPrezzo
344;199,99;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-29637-60dc04ae-29739-NORMAL.jpg;nero;giallo;0;NULL;NULL;NULL;0;" POTENZA";NULL;" FIBRA DI CARBONIO";" GOMMA EVA";" AVANZATO";" HIBRIDA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/bullpadel-flow-wpt-brussels-p-29739.html;bullpadel;NULL;249,99
345;389,95;NULL;https://www.padelnuestro.com/images/products/METALBONE-HRD-3-2_RK1AB0U22_800-1000_1.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-metalbone-hrd-32-2023-p-32917.html;adidas;NULL;0
346;379,95;NULL;https://www.padelnuestro.com/images/products/METALBONE-CTRL-3-2_RK1CA0U31_800-1000_1.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-metalbone-ctrl-32-2023-p-32916.html;adidas;NULL;0
347;219,95;NULL;https://www.padelnuestro.com/images/products/RK2AA0U16-800-1000_1.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-metalbone-team-2023-p-32919.html;adidas;NULL;0
348;219,95;NULL;https://www.padelnuestro.com/images/products/RK2AB0U12_800-1000_1.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-metalbone-w-team-donna-2023-p-32920.html;adidas;NULL;0
349;115;NULL;https://www.padelnuestro.com/images/products/RK4AA1U22_800-1000_1.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-metalbone-youth-32-junior-2023-p-32921.html;adidas;NULL;0
350;18,95;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-23999-c1f44ba7-29230-NORMAL.jpg;nero;fucsia;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" POLYCARBONATE";" FOAM";" PRINCIPIANTE";" ROTONDA";NULL;" BASSO";"                                                     ";https://www.padelnuestro.com/it/orygen-inruder-p-29230.html;orygen;NULL;39,95
351;169;NULL;https://www.padelnuestro.com/images/products/STAR-VIE-RPTR-RAPTOR21-SIN-FIRMA_800-1000_2.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/star-vie-raptor-p-23443.html;star;NULL;299,9
352;59,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-27871-64cf8cd6-28623-NORMAL.jpg;giallo;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" INTERMEDIO";" LACRIMA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/adidas-faster-control-green-p-28623.html;adidas;NULL;190
353;129,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-19106-ceb4a463-19822-NORMAL.jpg;nero;verde;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" FIBRA DI CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" ROTONDA";NULL;" MEDIO";" 2020                                                    ";https://www.padelnuestro.com/it/adidas-carbon-ctrl-20-p-19822.html;adidas;NULL;255
354;255;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-27948-01fb6dce-30175-NORMAL.jpg;nero;verde;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" LACRIMA";NULL;" ";" 2022                                                    ";https://www.padelnuestro.com/it/wilson-blade-pro-padel-v2-2-nero-verde-p-30175.html;wilson;NULL;295
355;139;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-27961-2627d93a-30158-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" FIBRA DI VETRO";" GOMMA EVA MORBIDA.";" INTERMEDIO";" ROTONDA";NULL;" BASSO";" 2022                                                    ";https://www.padelnuestro.com/it/wilson-pro-staff-v2-team-p-30158.html;wilson;NULL;160
356;89,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-8294-d11d889f-7047-NORMAL.jpg;lilla;NULL;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" CARBONIO / CARBONIO ";" GOMMA BLACK EVA";" AVANZATO / INTERMEDIO ";" ROTONDA";NULL;" BASSO";" 2017                                                    ";https://www.padelnuestro.com/it/black-crown-piton-50-p-7047.html;black;NULL;230
357;269,95;Donna;https://www.padelnuestro.com/images/products/ELITE-MFINAL-22-468074-MJR_800-1000_1.jpg;;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" ";" GOMMA EVA";" AVANZATO";" LACRIMA";NULL;" MEDIO";"                                                     ";https://www.padelnuestro.com/it/bullpadel-elite-w-master-final-2022-p-31989.html;bullpadel;NULL;339,95
358;350;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-31929-dd336627-35585-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/siux-diablo-revolution-ii-sanyo-pro-p-35585.html;siux;NULL;0
359;149,95;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-105908-e868e1a0-34748-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/mm2-pro-by-manu-martin-p-34748.html;mm2;NULL;0
360;69,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-21577-b9caa315-23140-NORMAL.jpg;nero;blu;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA ULTRA SOFT";" AVANZATO";" LACRIMA";NULL;" MEDIO";"                                                     ";https://www.padelnuestro.com/it/dunlop-sonic-p-23140.html;dunlop;NULL;200
