RacketId;Prezzo;Sesso;ImageLink;ColoreUno;ColoreDue;Profilo;Lunghezza;Peso;NumeroArticolo;PuntoDiEquilibrio;TipoDiGioco;TipoDiProdotto;Telaio;Nucleo;LivelloDiGioco;Forma;Eta;Bilanciamento;Anno;Url;Marca;Modello;VecchioPrezzo
56;43,95;Bambini;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe9e75ce3/images/009/057/0280700000_000.jpg?q=80&sw=2000;nero;NULL;0;NULL;300;0090570280700000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/babolat-viper-junior-0090570280700000.html;Babolat;Viper Junior;65
57;75,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dw0f8b0f01/images/006/058/0405900000_000.jpg?q=80&sw=2000;nero;lilla;38;455;345;0060580405900000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/head-zephyr-0060580405900000.html;HEAD;Zephyr;180
58;379,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dwa2845e1b/images/009/062/0289400000_000.jpg?q=80&sw=2000;nero;NULL;38;455;365;0090620289400000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/babolat-tech-viper-juan-lebron-0090620289400000.html;Babolat;Tech Viper Juan Lebron;0
59;165,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc8e78158/images/236/058/0004100000_000.jpg?q=80&sw=2000;nero;NULL;38;455;360-380;2360580004100000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/drop-shot-conqueror-10-2360580004100000.html;Drop Shot;Conqueror 10;340
60;304,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd544020f/images/009/062/0289500000_000.jpg?q=80&sw=2000;grigio;rosso;38;455;365;0090620289500000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/babolat-technical-viper-apt-0090620289500000.html;Babolat;Technical Viper APT;340
61;259,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dw96d6b940/images/005/062/0012700000_000.jpg?q=80&sw=2000;nero;NULL;0;455;NULL;0050620012700000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/adidas-metalbone-carbon-0050620012700000.html;adidas;Metalbone CARBON;0
62;208,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dwa2e74085/images/009/057/0280200000_000.jpg?q=80&sw=2000;nero;NULL;38;455;NULL;0090570280200000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/babolat-counter-viper-0090570280200000.html;Babolat;Counter Viper;320
63;214,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6fe3bc8a/images/009/062/0289000000_000.jpg?q=80&sw=2000;bianco;rosa;38;455;NULL;0090620289000000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/babolat-dyna-energy-0090620289000000.html;Babolat;Dyna Energy;240
64;222,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dw30640c13/images/203/058/0003000000_000.jpg?q=80&sw=2000;bianco;oro;38;455;350-385;2030580003000000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/starvie-astrum-es-22-2030580003000000.html;Starvie;Astrum Es 22;340
65;189,95;Unisex;https://www.tennis-point.it/dw/image/v2/BBDP_PRD/on/demandware.static/-/Sites-master-catalog/default/dw427fb810/images/006/054/0402000000_000.jpg?q=80&sw=2000;bianco;nero;38;NULL;375;0060540402000000;0;NULL;Racchette da padel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.tennis-point.it/head-graphene-360-alpha-pro-0060540402000000.html;HEAD;Graphene 360+ Alpha Pro;290
